PAYMENT_ID,ID_GINR_REQUEST,ID_CHANGE_REQUEST,TRANS_ID,PAYMENT_STATUS,FAILURE_ROOT_CAUSE,ACCOUNT_TYPE,ACCOUNT_NUMBER,TOTAL_AMOUNT,SS_FEE,FIS_FEE,ANALYSIS_FEE,AUTHORIZATION,DATE_PAID,PAYER_NAME,CITY,STATE,PRIOR_ATTEMPTS_SAME_REQUEST,TOTAL_FAILURES_SAME_CARD,GINR_REQUEST_ID,PROJECT_NAME,ID_APPLICATION_STATUS,ID_PROJECT_TYPE,ID_FUEL_TYPE,ID_APPLICATION_SIZE,MAX_GEN_MW,POI_VOLTAGE,SUBMIT_DATE,FIS_FEE_PAID,SS_FEE_PAID,ANALYSIS_FEE_PAID,DAYS_SUBMIT_TO_PAY,CHANGE_REQUEST_TYPE,ERCOT_ACCEPTED,ERCOT_COMMENT
10001,19233,,44815493811,FAILED,INSUFFICIENT_FUNDS,Visa,XXXX1700,22616.65,8529.17,9794.38,4293.1,5R0994,05-Jan-26 12.00.00 AM,Stephanie Castillo,Moab,FL,0,7,18718,PowerSync,APR,NS,BIO,MD,62.12,345,15-Nov-25,0,0,0,51,Ownership Change,N,Retry required
10002,16139,182,45197690704,SUCCESS,AUTHORIZED,eCheck,XXXX7998,17318.09,7621.81,7462.12,2234.16,9CKOAK,21-Feb-24 12.00.00 AM,Kimberly Robles,Austin,TX,3,9,16174,PowerSync,APR,UPG,SOL,LG,300.52,230,31-Jan-24,0,1,0,21,Voltage Change,Y,
10003,10366,,44015777386,SUCCESS,AUTHORIZED,Discover,XXXX1156,15306.31,4979.0,3369.29,6958.02,OIRO9Q,13-Oct-25 12.00.00 AM,David Hoffman,Houston,WA,4,4,19456,ERCOT Solar,PLN,NS,WND,SM,97.74,69,15-Aug-25,1,1,1,59,Capacity Update,Y,Bank verification pending
10004,18412,470,41909813189,FAILED,BANK_DECLINED,eCheck,XXXX9833,20791.21,8021.03,6621.36,6148.82,BM57K3,18-Jun-24 12.00.00 AM,Brian Simmons,Dallas,WA,5,16,12644,PowerSync,APR,NS,BIO,LG,35.45,345,20-Apr-24,1,1,0,59,Voltage Change,Y,ERCOT accepted
10005,12759,171,78093625535,SUCCESS,AUTHORIZED,eCheck,XXXX9937,39094.16,20376.51,14222.57,4495.08,6PICHZ,10-Jun-24 12.00.00 AM,Angel Drake,Moab,IL,3,5,9104,PowerSync,PLN,UPG,BIO,LG,486.6,115,07-Jun-24,0,1,1,3,Ownership Change,,Payment processed successfully
10006,11280,,75469030160,FAILED,INVALID_ACCOUNT,Discover,XXXX8435,33101.47,18093.89,11860.76,3146.82,1E54TX,21-Apr-23 12.00.00 AM,Daniel Rojas,Dallas,GA,3,4,16156,ERCOT Solar,SUB,NS,WND,MD,80.15,138,14-Apr-23,1,1,1,7,Capacity Update,,
10007,10274,,43451210330,SUCCESS,AUTHORIZED,eCheck,XXXX5265,28647.47,15440.5,6489.59,6717.38,5WKZAD,02-Mar-23 12.00.00 AM,Michelle Hines,Seattle,TX,5,6,10635,BatteryMax,APR,UPG,WND,MD,174.89,230,02-Mar-23,1,1,0,0,,Y,ERCOT accepted
10008,9372,899,60539855998,SUCCESS,AUTHORIZED,Discover,XXXX5680,20765.06,4547.39,8155.48,8062.19,4F7A37,07-Jun-23 12.00.00 AM,Melanie Stevens,Seattle,AZ,4,17,11016,Claire BESS,APR,NS,BIO,SM,392.4,115,11-Apr-23,0,0,1,57,Capacity Update,N,Bank verification pending
10009,15440,385,75487942068,SUCCESS,AUTHORIZED,Visa,XXXX6771,41421.82,24535.41,11634.57,5251.84,L0O8QS,23-Feb-25 12.00.00 AM,Jared Dillon,Austin,NY,2,15,17736,WindFlow,APR,NS,BAT,MD,7.92,230,09-Feb-25,0,0,0,14,Voltage Change,Y,
10010,12551,,50026431032,FAILED,NETWORK_TIMEOUT,Discover,XXXX6752,35047.56,16836.08,14684.11,3527.37,5U061V,15-Mar-25 12.00.00 AM,Melissa Henderson,Chicago,CA,5,10,19937,BatteryMax,PLN,NS,WND,MD,226.54,345,16-Feb-25,1,0,0,27,,Y,Payment processed successfully
10011,17522,993,66939812557,SUCCESS,AUTHORIZED,Visa,XXXX4257,36332.74,9493.79,7691.53,19147.42,JCZDZZ,19-Jun-24 12.00.00 AM,Michael Porter,Chicago,UT,4,18,17394,BatteryMax,SUB,UPG,WND,MD,256.22,69,02-Jun-24,1,0,0,17,Ownership Change,Y,Bank verification pending
10012,13850,,63166542125,SUCCESS,AUTHORIZED,Discover,XXXX9627,25264.04,10314.81,6615.92,8333.31,RV18OM,22-Nov-24 12.00.00 AM,Jennifer Petersen,Moab,GA,1,0,18748,PowerSync,PLN,NS,WND,LG,477.3,345,12-Oct-24,1,1,1,41,,,
10013,19633,,86569679059,SUCCESS,AUTHORIZED,AmericanExpress,XXXX8320,48486.73,14072.95,13494.32,20919.46,5WX9WT,29-May-24 12.00.00 AM,Stephanie Clark,Moab,FL,4,18,9252,WindFlow,APR,NS,WND,SM,180.95,69,22-Apr-24,1,0,0,37,Capacity Update,N,
10014,12293,,80481611061,SUCCESS,AUTHORIZED,AmericanExpress,XXXX1155,47459.58,19368.94,13791.94,14298.7,9DYVGC,20-Sep-24 12.00.00 AM,Joshua Clark,Houston,FL,2,5,13107,Claire BESS,PLN,UPG,BIO,LG,360.07,138,19-Sep-24,1,0,1,1,,N,
10015,12998,,60716960950,SUCCESS,AUTHORIZED,AmericanExpress,XXXX5155,14957.9,4154.59,2295.07,8508.24,0KQ78H,18-Jun-24 12.00.00 AM,Tina Bruce,Denver,FL,5,13,16752,BatteryMax,PLN,NS,BAT,MD,460.6,115,19-Apr-24,1,0,0,60,Voltage Change,,Bank verification pending
10016,16702,,64980573510,FAILED,INVALID_ACCOUNT,AmericanExpress,XXXX2668,9734.23,4147.72,3056.09,2530.42,TN9430,16-Jun-25 12.00.00 AM,Barbara Dyer,Chicago,WA,1,4,9241,BatteryMax,APR,UPG,BIO,SM,312.42,115,17-Apr-25,0,1,1,60,Capacity Update,,
10017,15222,135,71059809261,SUCCESS,AUTHORIZED,MasterCard,XXXX8308,11741.18,3087.84,5638.68,3014.66,E93KL1,05-Jun-24 12.00.00 AM,Jessica Ross,Austin,CO,2,8,18852,Claire BESS,PLN,UPG,BIO,MD,189.12,345,22-Apr-24,1,0,1,44,Voltage Change,,ERCOT accepted
10018,17651,182,42726709431,SUCCESS,AUTHORIZED,AmericanExpress,XXXX6838,11154.94,2354.09,1944.71,6856.14,F8YCCR,23-Oct-23 12.00.00 AM,David Lawrence,Dallas,CO,5,3,17440,BatteryMax,SUB,NS,SOL,SM,400.74,138,29-Aug-23,0,1,1,55,Capacity Update,N,ERCOT accepted
10019,16736,328,51744118855,SUCCESS,AUTHORIZED,MasterCard,XXXX3840,26159.13,13981.98,12666.6,-489.45,248M43,22-Dec-23 12.00.00 AM,Phillip Klein,Dallas,NY,3,14,12483,BatteryMax,SUB,UPG,BIO,MD,443.03,345,13-Dec-23,1,1,0,9,Voltage Change,N,
10020,18860,745,66013422623,SUCCESS,AUTHORIZED,MasterCard,XXXX3794,17823.89,4625.57,2122.89,11075.43,RK9QLC,06-Jul-23 12.00.00 AM,Gary White,Chicago,NY,4,16,15133,BatteryMax,SUB,NS,BAT,SM,247.11,69,29-Jun-23,1,1,0,7,Ownership Change,,Retry required
10021,13027,,84332673489,FAILED,INSUFFICIENT_FUNDS,Visa,XXXX8506,19603.51,10212.52,7629.61,1761.38,PL8ODU,11-May-24 12.00.00 AM,Debbie White,Moab,AZ,1,16,11804,GreenGrid,SUB,UPG,BIO,SM,441.54,230,04-Apr-24,0,1,0,37,,N,ERCOT accepted
10022,14013,437,59034599758,SUCCESS,AUTHORIZED,Visa,XXXX8840,8248.61,2378.19,3189.46,2680.96,5AL04I,25-Feb-25 12.00.00 AM,Drew Mcgee,Austin,AZ,0,9,10770,WindFlow,APR,UPG,BAT,LG,227.24,345,07-Jan-25,1,0,1,49,,,ERCOT accepted
10023,10166,609,54479373989,SUCCESS,AUTHORIZED,Visa,XXXX4656,43902.2,12550.57,15797.61,15554.02,N62QP0,19-Jun-24 12.00.00 AM,Robert Powell,Houston,GA,0,9,10883,SolarEdge,PLN,NS,BAT,MD,157.76,138,21-May-24,0,0,1,29,,N,Retry required
10024,17850,,73570195422,SUCCESS,AUTHORIZED,AmericanExpress,XXXX2044,2976.4,1757.52,323.61,895.27,5G1JN5,17-Dec-25 12.00.00 AM,Xavier Gardner,Dallas,AZ,5,12,10364,Claire BESS,APR,UPG,SOL,SM,95.62,69,03-Dec-25,0,0,0,14,Ownership Change,,
10025,18549,409,45793002004,FAILED,INVALID_ACCOUNT,MasterCard,XXXX2901,22847.43,13398.26,8366.33,1082.84,TGRT9T,20-Mar-25 12.00.00 AM,Stephen Simpson MD,Houston,CA,4,2,14024,SolarEdge,PLN,NS,WND,LG,203.96,230,20-Feb-25,1,0,0,28,,N,Bank verification pending
10026,9266,,45842858878,SUCCESS,AUTHORIZED,Visa,XXXX1676,34877.05,16209.41,14130.87,4536.77,60K3K8,15-Jul-25 12.00.00 AM,Jacob Alvarez,Denver,AZ,2,20,18557,EnergyPlus,PLN,UPG,BAT,SM,349.33,115,05-Jun-25,0,0,0,40,,,Bank verification pending
10027,13163,,56720785284,FAILED,INVALID_ACCOUNT,Visa,XXXX8165,14330.4,4548.88,5689.47,4092.05,TUGIBL,28-May-24 12.00.00 AM,Jeffrey Hall,Denver,CA,1,6,11709,ERCOT Solar,APR,NS,BIO,LG,78.43,345,03-Apr-24,0,0,1,55,Ownership Change,,Retry required
10028,14267,,76646449470,SUCCESS,AUTHORIZED,Visa,XXXX3214,40064.8,21573.29,6300.37,12191.14,70FKRE,20-Sep-23 12.00.00 AM,Anthony Sutton,Chicago,WA,4,20,13583,Claire BESS,SUB,UPG,BAT,SM,370.07,138,09-Aug-23,0,1,0,42,,N,Bank verification pending
10029,16292,608,58892130425,SUCCESS,AUTHORIZED,Discover,XXXX6840,20242.27,9894.65,2525.81,7821.81,R8HNSV,06-Sep-25 12.00.00 AM,Christopher Johnson,Miami,UT,5,16,14126,BatteryMax,SUB,NS,BIO,MD,242.2,345,10-Jul-25,1,0,1,58,,,Bank verification pending
10030,11322,347,54583746767,SUCCESS,AUTHORIZED,Discover,XXXX4124,8292.41,3915.2,2375.72,2001.49,5V2B7C,05-Aug-25 12.00.00 AM,Michael Henry,Seattle,TX,3,18,18500,PowerSync,APR,UPG,BAT,MD,441.5,69,17-Jun-25,1,0,1,49,,N,Payment processed successfully
10031,15047,,76506549741,SUCCESS,AUTHORIZED,eCheck,XXXX2486,48181.01,11372.84,20271.28,16536.89,829NGE,29-Jul-24 12.00.00 AM,Heather Brown,Seattle,CA,1,8,9634,ERCOT Solar,PLN,NS,WND,MD,44.53,230,17-Jul-24,1,1,1,12,,N,ERCOT accepted
10032,17551,650,61006526789,FAILED,NETWORK_TIMEOUT,MasterCard,XXXX6946,47816.09,15256.74,15375.16,17184.19,WFN2Z6,23-Feb-25 12.00.00 AM,Tammy Jimenez,Austin,FL,1,14,13187,SolarEdge,PLN,NS,BAT,LG,275.38,69,02-Feb-25,1,1,1,21,Voltage Change,Y,Bank verification pending
10033,18408,241,83700925410,FAILED,NETWORK_TIMEOUT,eCheck,XXXX7832,28935.96,6469.82,2948.32,19517.82,92FL89,06-Jun-25 12.00.00 AM,Paul Kim,Miami,CA,5,8,14749,PowerSync,APR,UPG,BIO,MD,160.69,138,12-May-25,0,0,1,25,Voltage Change,,Payment processed successfully
10034,9626,,64302569920,SUCCESS,AUTHORIZED,AmericanExpress,XXXX9964,40696.76,20148.18,7932.65,12615.93,ALAXOS,02-Feb-25 12.00.00 AM,John Davis,Moab,CA,3,5,10565,PowerSync,SUB,NS,BAT,SM,249.15,115,18-Dec-24,1,1,0,46,Voltage Change,N,Bank verification pending
10035,11834,478,77547822393,SUCCESS,AUTHORIZED,Discover,XXXX9892,46021.78,17132.83,8786.71,20102.24,9C7HW4,26-Aug-25 12.00.00 AM,Elizabeth Anderson,Moab,TX,1,10,18875,ERCOT Solar,APR,NS,WND,SM,48.01,230,25-Jul-25,1,1,1,32,Voltage Change,N,ERCOT accepted
10036,14306,749,58931385958,SUCCESS,AUTHORIZED,MasterCard,XXXX3420,39289.36,7966.8,17473.84,13848.72,OBTFF9,27-Mar-26 12.00.00 AM,Darius Taylor DVM,Houston,TX,3,11,9315,Claire BESS,APR,UPG,BIO,MD,446.41,230,07-Feb-26,0,1,0,48,Capacity Update,N,
10037,18088,450,75225155010,FAILED,INVALID_ACCOUNT,AmericanExpress,XXXX8059,29156.14,7062.5,10626.67,11466.97,BPNTSI,30-Jun-23 12.00.00 AM,Robert Thomas,Moab,AZ,5,9,12879,ERCOT Solar,SUB,NS,SOL,LG,244.85,69,22-May-23,0,1,1,39,,,Retry required
10038,9828,847,78614856450,FAILED,INSUFFICIENT_FUNDS,Visa,XXXX4052,6423.58,3195.38,1529.24,1698.96,UKJHRC,18-May-25 12.00.00 AM,Brandy Cantrell,Seattle,NY,0,2,18501,EnergyPlus,APR,UPG,WND,LG,152.98,69,30-Mar-25,0,1,0,49,Ownership Change,N,Payment processed successfully
10039,10439,988,86713472990,SUCCESS,AUTHORIZED,MasterCard,XXXX5733,47412.65,11104.56,19051.9,17256.19,3BEFPW,20-Mar-25 12.00.00 AM,David Fuller,Austin,UT,4,8,11667,SolarEdge,APR,UPG,BAT,LG,188.42,230,02-Mar-25,1,0,0,18,,N,Payment processed successfully
10040,16014,441,46721418223,SUCCESS,AUTHORIZED,MasterCard,XXXX8355,32580.93,11697.4,5316.69,15566.84,F44LEB,23-Jan-26 12.00.00 AM,Joe Stein,Houston,CO,4,13,12003,SolarEdge,APR,UPG,SOL,SM,477.45,345,08-Dec-25,1,1,1,46,Ownership Change,N,Retry required
